"nome";"idade";"cpf";"rg";"data_nasc";"sexo";"signo";"mae";"pai";"email";"senha";"cep";"endereco";"numero";"bairro";"cidade";"estado";"telefone_fixo";"celular";"altura";"peso";"tipo_sanguineo";"cor"
"Gabriel Sérgio Jorge Viana";66;"723.708.627-85";"28.719.424-3";"01/03/1957";"Masculino";"Peixes";"Andreia Márcia";"Kevin Marcos André Viana";"gabriel_sergio_viana@iname.com";"yr3g27AJSe";"88135-658";"Servidão 1065";346;"Alto Aririu";"Palhoça";"SC";"(48) 2781-6411";"(48) 99206-9400";"2,00";73;"B-";"preto"
"Lucas Mário Rezende";47;"122.484.407-66";"36.682.549-5";"10/03/1976";"Masculino";"Peixes";"Sueli Kamilly";"Osvaldo Leonardo Nathan Rezende";"lucas.mario.rezende@andritz.com";"wD30SKmOhj";"94510-520";"Rua Síria";789;"Vila Augusta";"Viamão";"RS";"(51) 2599-8831";"(51) 98546-5049";"1,66";104;"B+";"roxo"
"Regina Heloisa Corte Real";39;"840.739.971-06";"33.310.266-6";"08/03/1984";"Feminino";"Peixes";"Helena Rosa Aurora";"Benício Breno Corte Real";"reginaheloisacortereal@trilhavitoria.com.br";"TZQ5u2N4GH";"69312-545";"Travessa 03";569;"Centenário";"Boa Vista";"RR";"(95) 3548-6750";"(95) 98522-5631";"1,84";56;"O-";"azul"
"Sebastião Nelson Moura";31;"274.995.733-89";"36.235.804-7";"17/04/1992";"Masculino";"Áries";"Lúcia Clarice Mariana";"Benício Bento Sérgio Moura";"sebastiao_moura@julietavinhas.fot.br";"edo20Edzyp";"65083-304";"Rua Domingos Dutra";840;"Cidade Nova";"São Luís";"MA";"(98) 2522-7422";"(98) 98865-0512";"1,83";76;"A+";"azul"
"Fábio Iago Souza";73;"077.230.638-90";"17.582.206-2";"19/03/1950";"Masculino";"Peixes";"Flávia Agatha";"Raimundo Renan Giovanni Souza";"fabio-souza79@stembalagens.com.br";"ieWzj98nMQ";"67032-120";"Rua Tiradentes";648;"Aurá";"Ananindeua";"PA";"(91) 2514-8562";"(91) 98266-5998";"1,63";72;"B-";"vermelho"
"Roberto Diego Monteiro";59;"991.947.913-68";"23.888.378-4";"18/03/1964";"Masculino";"Peixes";"Elza Melissa Isabelly";"Marcelo Hugo Monteiro";"roberto-monteiro82@bom.com.br";"mSOtaAnO9X";"21940-290";"Rua André Cusaco";735;"Jardim Guanabara";"Rio de Janeiro";"RJ";"(21) 3750-3263";"(21) 99616-9440";"1,63";63;"AB+";"verde"
"Lorena Vera Mendes";56;"963.627.604-84";"12.813.193-7";"17/05/1967";"Feminino";"Touro";"Caroline Sophia Natália";"Elias Vicente Mendes";"lorena_mendes@simoesmendonca.adv.br";"fiYLNgsFE8";"69067-603";"Beco Mafra";852;"Petrópolis";"Manaus";"AM";"(92) 2909-1878";"(92) 99397-1607";"1,82";74;"O+";"amarelo"
"Ricardo Sebastião Porto";40;"496.578.186-48";"20.341.364-7";"09/06/1983";"Masculino";"Gêmeos";"Fernanda Bruna Vanessa";"Thomas Mateus Porto";"ricardo-porto76@tecsysbrasil.com.br";"NxRXgfBkpJ";"59152-626";"Rua Francisco Carlos Gaioso";163;"Nova Parnamirim";"Parnamirim";"RN";"(84) 2591-4322";"(84) 99600-8001";"1,87";99;"A-";"roxo"
"Carlos Antonio Cláudio Assunção";72;"563.821.882-39";"33.608.420-1";"12/04/1951";"Masculino";"Áries";"Daniela Mirella";"Nicolas Igor Assunção";"carlos.antonio.assuncao@villalobos.mu.br";"m4sJMROu9A";"18206-016";"Rua Alberto Yukio Takasse";746;"Jardim das Laranjeiras";"Itapetininga";"SP";"(15) 3714-4378";"(15) 98606-6997";"1,71";75;"O-";"roxo"
"Maya Manuela Almeida";22;"386.893.324-72";"19.899.135-6";"11/02/2001";"Feminino";"Aquário";"Laura Beatriz";"Sérgio Nathan Almeida";"maya_almeida@habby-appe.com.br";"IariGab9ww";"74477-432";"Rua BV 31";446;"Boa Vista";"Goiânia";"GO";"(62) 2767-0017";"(62) 98151-1599";"1,57";59;"A-";"vermelho"
"Carlos Henrique Filipe Novaes";67;"136.357.800-65";"37.751.352-0";"11/01/1956";"Masculino";"Capricórnio";"Stefany Rosângela";"Kaique Alexandre Novaes";"carlos-novaes82@bluespropaganda.com";"7m6wfpmA1d";"66110-135";"Quadra Trinta e Três";268;"Maracangalha";"Belém";"PA";"(91) 3629-8245";"(91) 99229-2690";"1,67";97;"AB-";"amarelo"
"Nathan Nelson Noah Alves";45;"356.341.692-32";"16.792.973-2";"24/05/1978";"Masculino";"Gêmeos";"Lúcia Lívia Lorena";"Guilherme Lucca Alves";"nathannelsonalves@i9pneus.com.br";"KsmcpSZ2db";"77413-430";"Rua T";138;"Jardim das Palmeiras";"Gurupi";"TO";"(63) 2989-4075";"(63) 99661-3527";"1,65";104;"AB+";"roxo"
"Enrico Samuel Teixeira";18;"207.605.912-10";"32.831.875-9";"05/03/2005";"Masculino";"Peixes";"Caroline Regina Elza";"Luís Mário Teixeira";"enrico.samuel.teixeira@imobideal.com";"LYNfMw6ehx";"07152-121";"Viela Terra";182;"Parque Santos Dumont";"Guarulhos";"SP";"(11) 2865-3925";"(11) 98577-5523";"1,65";89;"B-";"amarelo"
"Aline Giovanna Raquel Oliveira";56;"162.852.700-58";"27.765.305-8";"22/04/1967";"Feminino";"Touro";"Mariah Antonella Alícia";"Davi Alexandre Oliveira";"aline-oliveira73@latapack.com.br";"yCjlLHelTZ";"78144-000";"Rua Aruaque";940;"Petrópolis";"Várzea Grande";"MT";"(65) 2558-4115";"(65) 98547-5559";"1,82";70;"O-";"verde"
"Ayla Rayssa Cavalcanti";57;"693.140.816-05";"17.929.525-1";"03/03/1966";"Feminino";"Peixes";"Isabelly Sarah";"Tiago Tiago Tomás Cavalcanti";"aylarayssacavalcanti@outlook.com";"e1Z3mlORxt";"68375-350";"Travessa WE Treze";1000;"Liberdade";"Altamira";"PA";"(93) 2787-6403";"(93) 99311-6962";"1,71";75;"B+";"vermelho"
"Lorenzo Otávio Farias";38;"128.737.931-12";"33.451.148-3";"15/01/1985";"Masculino";"Capricórnio";"Emily Francisca";"Henry Noah Severino Farias";"lorenzootaviofarias@yahho.com.br";"twxEqGOUbW";"93145-170";"Rua Rio Araguari";506;"Arroio da Manteiga";"São Leopoldo";"RS";"(51) 2889-0945";"(51) 98652-8338";"1,72";98;"A+";"preto"
"Alexandre Augusto Edson Caldeira";78;"204.989.118-02";"30.411.858-8";"14/04/1945";"Masculino";"Áries";"Luiza Cristiane Nair";"Leonardo Sérgio Julio Caldeira";"alexandre.augusto.caldeira@tribunaimpressa.com.br";"BQ38jMXbwQ";"72275-364";"Quadra QNR 3 Conjunto G";384;"Ceilândia Norte (Ceilândia)";"Brasília";"DF";"(61) 3524-1386";"(61) 99723-4114";"1,87";86;"B+";"azul"
"Lucas Anderson Lopes";36;"840.116.918-60";"39.218.356-0";"26/03/1987";"Masculino";"Áries";"Laís Isabelly Sophia";"Fernando Danilo Yago Lopes";"lucas.anderson.lopes@poligerma.com.br";"65iTgEuJnu";"29175-571";"Rua São Benedito";783;"das Laranjeiras";"Serra";"ES";"(27) 2866-2842";"(27) 98919-5452";"1,94";84;"B-";"vermelho"
"Pietro Iago Moreira";44;"963.292.028-77";"25.964.732-9";"09/01/1979";"Masculino";"Capricórnio";"Adriana Sueli";"Eduardo Ian Moreira";"pietro_moreira@dye.com.br";"SxHYxT24hS";"88521-270";"Rua Bento Antunes";231;"Guarujá";"Lages";"SC";"(49) 2837-5236";"(49) 99699-4742";"1,69";95;"AB+";"vermelho"
"Lucas Carlos Eduardo Figueiredo";65;"508.813.046-54";"35.869.373-1";"22/03/1958";"Masculino";"Áries";"Camila Daniela";"Yuri Noah Figueiredo";"lucas_figueiredo@projetti.com";"J1xiGDNIG4";"58073-452";"Rua Kamila Martins dos Santos";903;"José Américo de Almeida";"João Pessoa";"PB";"(83) 2820-0681";"(83) 98486-8487";"1,68";68;"A+";"laranja"
